Student_ID,Age,Gender,Attendance_Percentage,Assignments_Completed,Class_Participation,Midterm_Grade,Final_Grade,Study_Hours_per_Week,Projects_Submitted,Teaching_Clarity,Teaching_Helpfulness,Feedback_Timeliness,Student_Performance,Teaching_Effectiveness
S0019,25,Other,62.17,1,5.41,15.39,36.94,6,2,2.2,4.6,2.44,Good,Low
S0020,20,Male,96.35,5,3.45,97.7,66.37,14,5,2.27,4.72,3.4,Average,High
S0021,23,Female,53.01,5,4.14,54.48,11.82,4,5,3.68,4.84,1.47,Good,High
S0022,22,Male,96.72,10,7.32,13.57,95.39,1,5,1.13,1.05,1.23,Average,Moderate
S0023,19,Other,67.58,2,8.82,89.36,86.56,6,3,3.91,1.69,2.65,Good,Moderate
S0024,25,Female,55.07,5,1.21,7.46,57.72,7,1,4.34,3.62,3.32,Excellent,Low
S0025,21,Female,74.29,9,6.35,90.77,67.4,6,0,2.66,1.1,2.57,Good,High
S0026,23,Female,62.84,9,5.82,99.66,1.67,6,1,4.06,1.25,3.31,Good,High
S0027,23,Male,64.24,4,1.18,70.04,33.89,13,2,1.7,1.88,3.06,Good,Low
S0028,19,Male,65.36,1,2.12,77.04,79.57,17,1,2.29,3.05,3.74,Average,Moderate
S0029,25,Male,90.15,8,3.11,33.73,7.75,5,0,4.9,3.18,3.6,Excellent,Low
S0030,21,Female,76.96,7,1.67,94.16,28.23,3,0,4.95,1.14,2.7,Good,Moderate
S0031,22,Female,65.57,2,2.44,52.97,58.53,9,2,3.05,1.68,2.7,Average,Moderate
S0032,18,Other,80.52,7,2.68,73.24,25.64,17,0,4.74,3.0,1.56,Good,High
S0033,21,Other,85.81,8,3.36,92.41,93.4,11,2,3.09,3.38,3.05,Average,High
S0034,19,Female,63.63,2,7.49,97.52,13.11,15,2,2.17,1.59,3.35,Good,Moderate
S0035,23,Female,70.68,2,5.72,83.32,79.74,6,0,2.07,2.6,2.91,Poor,Moderate
S0036,22,Other,56.09,1,9.86,30.3,50.79,5,4,4.72,4.62,2.3,Good,High
S0037,21,Female,59.06,7,4.15,96.65,75.03,4,2,1.69,5.0,3.89,Excellent,Low
S0038,18,Male,84.06,9,7.54,62.81,31.07,2,0,3.32,4.95,1.3,Good,High
S0039,18,Female,59.07,0,8.71,93.06,51.45,11,4,3.22,4.53,4.66,Excellent,Moderate
S0040,20,Male,76.26,7,6.79,67.61,85.68,14,2,3.96,2.58,1.08,Poor,High
S0041,20,Other,85.45,6,4.12,30.72,46.69,9,4,3.0,3.75,4.85,Excellent,Low
S0042,24,Female,55.34,6,7.54,37.0,35.97,19,3,2.09,2.67,2.85,Good,High
S0043,19,Male,78.37,2,2.04,55.05,53.62,18,5,1.68,3.59,2.65,Good,Moderate
S0044,25,Female,62.83,0,3.28,79.0,71.74,15,3,3.48,2.24,2.03,Average,High
S0045,21,Female,98.15,3,5.47,31.8,44.36,10,4,3.88,3.42,1.04,Good,Moderate
S0046,21,Male,74.18,8,5.75,57.97,93.89,7,2,3.28,3.1,2.1,Poor,Moderate
S0047,25,Male,90.3,4,0.22,34.56,29.49,2,0,3.95,1.1,1.44,Excellent,High
S0048,24,Female,77.51,0,9.45,81.58,47.55,6,1,1.57,4.16,3.64,Excellent,High
S0049,23,Female,52.17,4,6.97,46.67,75.69,6,0,4.53,1.05,2.28,Good,Low
S0050,23,Female,81.66,7,4.96,7.67,68.91,13,1,3.33,2.17,4.07,Average,Low
S0051,24,Female,97.57,7,9.33,16.61,86.36,1,1,1.51,1.02,1.83,Average,High
S0052,23,Female,80.08,4,4.39,6.11,99.68,9,2,2.85,2.5,4.6,Excellent,High
S0053,20,Female,90.96,8,9.8,49.93,42.69,18,4,4.38,1.25,3.09,Excellent,High
S0054,21,Female,94.21,0,5.12,10.63,11.12,8,0,4.59,4.65,1.46,Average,High
S0055,24,Female,61.4,3,1.14,11.41,3.04,15,4,2.06,2.66,2.6,Excellent,Low
S0056,21,Male,60.6,2,7.65,94.1,72.69,18,3,3.85,2.84,1.83,Excellent,Moderate
S0057,25,Male,80.55,1,6.79,87.27,87.4,17,2,1.4,2.4,1.8,Excellent,Moderate
S0058,18,Male,70.55,7,7.73,45.21,22.07,8,2,1.13,3.51,3.03,Excellent,Low
S0059,20,Female,91.99,6,9.51,98.58,15.84,15,3,3.24,4.14,3.69,Good,Moderate
S0060,22,Female,95.0,8,7.76,0.02,6.22,12,0,3.78,3.59,4.65,Excellent,Moderate
S0061,20,Female,67.67,1,6.11,61.4,82.27,9,5,4.18,3.99,3.01,Good,Moderate
S0062,24,Male,61.84,3,8.57,61.64,31.14,19,3,2.36,4.62,4.86,Average,Moderate
S0063,22,Male,89.03,5,6.73,45.74,40.17,13,0,1.03,4.45,4.77,Good,Moderate
S0064,18,Male,63.74,10,4.08,39.69,50.28,11,1,2.92,3.7,4.46,Average,High
S0065,24,Male,91.13,2,8.86,45.54,83.95,18,2,1.06,1.86,3.0,Excellent,High
S0066,19,Female,71.19,7,2.22,41.5,65.08,6,0,1.37,3.55,1.56,Average,High
S0067,21,Male,83.38,2,7.15,73.05,61.51,14,4,2.31,3.02,1.87,Good,High
S0068,18,Male,54.78,1,8.82,13.54,17.57,15,4,2.75,3.87,3.59,Average,Moderate
S0069,21,Other,81.19,2,7.31,19.76,51.32,7,2,2.12,4.33,2.69,Excellent,Moderate
S0070,23,Male,72.59,10,6.97,18.05,71.54,9,3,3.33,3.97,1.59,Average,Moderate
S0071,19,Female,79.33,5,7.53,26.25,97.33,3,5,1.22,4.39,2.92,Good,High
S0072,19,Female,58.4,1,4.65,52.53,20.14,18,3,1.58,1.26,1.07,Good,Moderate
S0073,18,Male,86.84,7,8.74,11.12,0.95,18,0,3.78,1.13,3.94,Poor,High
S0074,19,Female,93.14,0,2.03,86.82,7.53,14,3,1.57,2.03,1.29,Good,Moderate
S0075,22,Female,60.84,6,1.27,29.74,37.59,13,2,3.56,4.6,3.52,Good,Moderate
S0076,19,Other,54.79,1,2.86,16.25,82.05,0,0,1.22,4.29,4.17,Poor,High
S0077,21,Male,51.18,9,5.32,67.56,0.71,15,1,2.63,3.73,1.53,Good,Moderate
S0078,21,Other,82.1,5,5.11,3.81,45.67,9,3,1.71,3.8,3.07,Excellent,Moderate
S0079,24,Female,80.35,1,8.21,62.0,32.92,18,3,1.44,3.91,4.12,Poor,High
S0080,21,Male,77.33,1,4.05,69.82,5.25,2,5,3.27,4.77,2.04,Good,High
S0081,24,Female,61.6,9,4.84,21.49,45.02,4,0,4.71,4.33,1.65,Average,Low
S0082,21,Other,69.55,7,0.13,4.2,25.47,8,4,1.22,3.49,2.35,Excellent,High
S0083,22,Female,79.72,1,4.1,36.36,35.19,17,3,2.69,3.66,3.22,Average,Low
S0084,25,Male,74.84,6,6.48,9.86,70.56,10,2,3.83,1.85,3.3,Good,Moderate
S0085,24,Female,99.39,2,0.16,11.65,52.16,15,3,2.85,3.63,1.52,Poor,High
S0086,20,Male,56.82,7,2.81,25.43,12.46,1,5,4.23,2.7,2.83,Good,High
S0087,23,Male,84.76,6,2.08,29.55,96.14,11,1,1.72,1.61,2.07,Excellent,Moderate
S0088,18,Male,70.22,7,0.42,53.0,63.59,5,5,4.84,4.23,4.37,Average,Moderate
S0089,21,Male,71.41,6,4.79,67.84,76.59,10,3,2.54,3.04,2.25,Excellent,Moderate
S0090,19,Male,85.88,10,1.82,59.28,7.92,7,4,2.37,4.91,4.35,Average,Low
S0091,25,Male,84.62,5,7.43,14.84,4.71,11,3,4.5,2.13,2.71,Average,Low
S0092,21,Female,99.56,6,8.48,17.21,1.94,1,0,3.26,2.92,3.91,Good,High
S0093,19,Male,56.42,4,5.46,87.88,18.88,8,3,3.07,2.79,3.04,Average,Low
S0094,23,Male,55.21,6,9.82,55.84,41.44,14,4,3.91,1.48,3.49,Excellent,Low
S0095,23,Female,86.22,0,4.5,86.99,93.58,1,0,3.32,2.7,2.58,Good,Low
S0096,23,Female,78.92,0,5.13,37.15,45.71,0,2,1.65,2.15,4.07,Good,Moderate
S0097,19,Female,63.71,8,9.89,61.44,29.03,9,0,3.7,1.64,2.7,Average,Moderate
S0098,21,Male,53.97,4,2.32,52.37,56.19,1,5,1.53,2.13,2.83,Excellent,Moderate
S0099,23,Male,54.28,4,9.43,31.91,11.19,11,1,4.22,1.93,3.07,Average,Moderate
S0100,22,Male,94.71,2,0.43,46.99,60.95,7,5,4.96,3.94,4.33,Excellent,Low
S0101,24,Male,59.59,4,4.46,50.25,56.84,4,0,2.51,1.12,3.64,Average,High
S0102,19,Male,66.17,2,0.7,20.08,79.2,0,2,2.78,3.47,2.4,Excellent,High
S0103,19,Male,61.33,8,7.29,31.5,98.67,14,3,1.19,4.04,3.68,Average,Low
S0104,21,Male,67.75,8,6.08,79.14,25.09,5,0,1.05,2.92,3.57,Excellent,High
S0105,19,Male,53.47,5,7.07,91.58,50.97,11,5,4.69,4.73,4.72,Good,Low
S0106,19,Female,75.95,0,3.74,35.98,90.89,7,0,1.51,3.83,4.37,Good,Moderate
S0107,23,Male,53.38,6,3.69,30.7,78.52,12,0,2.78,3.99,3.59,Average,High
S0108,21,Male,90.02,6,0.45,19.52,48.74,18,0,4.26,1.79,2.37,Good,Moderate
S0109,23,Female,61.69,9,3.5,67.85,94.54,0,2,4.56,4.11,4.12,Average,Moderate
S0110,24,Female,77.0,9,9.29,32.31,5.72,10,4,3.08,4.33,3.3,Good,Moderate
S0111,25,Male,94.0,3,3.79,98.77,93.1,19,4,3.26,2.45,4.94,Average,Low
S0112,24,Female,82.54,7,8.31,32.57,5.05,0,0,3.68,1.85,1.99,Excellent,Low
S0113,25,Female,76.65,5,8.42,39.41,54.73,7,2,4.85,2.54,1.32,Good,Moderate
S0114,23,Male,66.22,3,3.73,60.33,89.04,4,2,3.41,3.96,1.28,Good,High
S0115,24,Female,66.65,3,6.32,80.17,26.27,16,0,3.24,2.67,3.56,Excellent,Low
S0116,21,Other,83.47,1,0.95,46.95,47.22,7,5,1.06,3.95,4.76,Excellent,Moderate
S0117,18,Male,99.71,1,1.04,42.27,32.43,9,5,1.32,1.45,1.01,Poor,High
S0118,23,Male,83.09,3,0.49,99.56,95.21,1,1,3.31,4.22,3.9,Poor,Low
S0119,25,Female,77.89,4,5.81,1.05,82.36,8,0,4.74,2.01,3.63,Average,Low
S0120,22,Female,86.53,7,4.26,89.51,70.9,2,1,4.47,2.0,3.93,Good,Moderate
S0121,25,Male,73.26,5,5.48,14.91,58.76,17,5,4.93,3.36,2.42,Good,Moderate
S0122,22,Male,53.01,3,5.21,78.59,82.06,6,5,3.11,1.28,4.28,Average,Moderate
S0123,19,Male,78.11,10,3.5,61.79,39.23,14,0,4.15,1.11,1.18,Excellent,Moderate
S0124,24,Female,97.88,6,6.77,34.18,44.76,19,1,4.36,2.04,4.02,Poor,Low
S0125,22,Female,58.77,7,7.59,87.39,73.0,17,1,3.59,3.15,2.07,Good,Low
S0126,25,Male,84.5,1,0.15,1.29,35.78,2,0,2.35,4.63,2.91,Poor,Moderate
S0127,19,Female,60.05,6,2.07,22.67,6.39,13,1,2.88,4.39,4.29,Good,Moderate
S0128,18,Female,76.79,1,7.13,56.69,7.43,1,3,4.43,2.96,2.09,Average,Low
S0129,21,Male,54.83,1,3.87,35.15,11.54,13,5,2.19,1.15,1.74,Excellent,High
S0130,21,Male,72.52,7,6.62,61.04,86.97,10,4,4.69,3.14,3.73,Average,High
S0131,21,Female,87.81,1,3.47,2.41,47.22,15,2,1.92,3.82,3.13,Good,Low
S0132,22,Female,67.38,10,3.91,11.65,71.29,7,1,4.0,2.36,3.06,Average,High
S0133,18,Female,83.25,8,1.59,12.71,39.29,6,1,3.52,1.44,2.03,Average,High
S0134,22,Female,89.77,0,2.58,18.93,25.87,10,2,4.0,2.11,1.14,Excellent,High
S0135,24,Male,96.36,8,6.05,45.93,34.72,2,1,2.75,4.09,2.64,Good,Moderate
S0136,22,Male,61.73,0,4.33,75.21,79.42,16,2,4.73,2.4,1.43,Good,High
S0137,18,Female,69.97,9,7.74,90.55,62.52,13,0,3.53,4.25,4.62,Good,Moderate
S0138,18,Male,57.62,9,8.53,83.54,93.76,5,3,2.15,2.28,1.17,Good,Low
S0139,24,Male,99.62,1,5.42,19.69,67.97,7,3,3.55,1.65,2.73,Good,Moderate
S0140,18,Male,96.35,5,7.58,44.12,57.02,4,5,2.15,2.74,1.21,Good,Moderate
S0141,25,Male,77.0,5,3.07,19.94,61.02,7,4,2.17,2.81,1.38,Average,High
S0142,18,Male,92.1,0,4.15,26.45,94.24,1,1,2.6,1.06,3.64,Average,Moderate
S0143,21,Male,76.05,6,7.13,50.35,78.82,14,4,4.41,1.47,3.59,Good,Moderate
S0144,25,Male,81.18,7,3.86,6.81,2.4,11,0,3.0,1.74,1.13,Average,Moderate
S0145,25,Male,54.46,1,5.89,21.82,53.41,16,3,3.72,1.45,1.0,Average,High
S0146,24,Female,87.76,7,1.85,93.54,68.83,0,0,2.57,2.37,1.32,Good,Moderate
S0147,20,Female,56.39,8,6.0,46.61,74.87,14,0,2.05,4.86,4.05,Good,Low
S0148,20,Female,91.3,5,8.62,44.54,21.31,13,1,4.82,3.04,3.34,Good,Moderate
S0149,18,Female,89.1,4,8.69,1.46,86.72,19,0,3.41,3.51,1.15,Average,Moderate
S0150,25,Female,85.44,8,7.24,24.74,95.58,15,3,4.74,2.43,2.95,Average,Moderate
S0151,20,Male,51.81,10,7.46,86.63,23.67,8,4,1.81,2.29,3.85,Excellent,Moderate
S0152,20,Female,65.16,8,5.58,16.46,88.26,0,3,1.59,1.09,4.48,Average,Moderate
S0153,18,Female,63.16,0,5.85,41.51,9.7,16,1,4.42,3.0,4.74,Good,High
S0154,20,Female,68.01,10,1.34,1.43,5.57,12,3,3.72,2.93,2.31,Excellent,Moderate
S0155,22,Male,54.38,2,4.44,47.83,12.92,4,2,1.75,1.63,1.54,Average,Low
S0156,19,Male,96.85,8,4.51,2.1,5.77,9,4,2.08,4.06,1.95,Average,Moderate
S0157,24,Male,77.69,10,9.58,81.96,84.5,5,2,4.2,2.97,4.1,Good,High
S0158,19,Male,65.28,1,4.31,82.49,5.91,18,2,2.82,2.36,4.89,Good,High
S0159,18,Female,69.85,3,5.49,78.77,27.17,12,5,3.68,1.59,2.87,Poor,Moderate
S0160,21,Female,72.36,3,5.33,28.34,10.38,0,1,2.27,3.21,2.22,Good,Low
S0161,24,Male,80.03,1,6.37,83.72,29.54,19,0,2.52,4.01,2.72,Average,Moderate
S0162,18,Other,75.78,2,7.48,54.3,9.06,14,2,4.96,2.13,2.22,Excellent,Moderate
S0163,25,Female,95.97,2,2.25,37.38,66.8,13,3,1.99,1.88,2.03,Excellent,High
S0164,21,Male,74.85,0,5.29,62.53,13.33,7,0,3.03,3.09,3.38,Good,Moderate
S0165,19,Male,99.61,5,8.26,1.23,85.18,9,3,4.38,1.62,1.06,Good,Moderate
S0166,18,Male,92.57,7,4.63,14.3,81.72,8,3,1.96,3.67,2.04,Average,Low
S0167,25,Male,60.43,2,2.78,74.23,1.37,16,0,2.66,3.42,3.65,Good,Moderate
S0168,24,Male,96.53,4,6.55,24.42,89.57,8,0,3.46,1.35,1.13,Good,Moderate
S0169,24,Male,55.82,0,8.24,59.8,2.89,2,3,2.92,1.15,1.33,Good,Moderate
S0170,23,Male,90.87,9,0.63,38.51,23.96,10,1,2.84,3.48,2.17,Good,Moderate
S0171,25,Male,69.03,6,7.77,85.48,3.24,11,4,2.45,2.18,4.51,Poor,Low
S0172,22,Female,93.9,9,8.22,95.24,33.58,9,5,3.35,1.35,4.06,Average,High
S0173,20,Male,93.4,0,4.62,88.36,51.39,16,4,3.5,4.04,1.09,Excellent,Moderate
S0174,21,Female,90.3,10,9.83,27.06,79.66,16,1,3.61,2.26,3.01,Average,Moderate
S0175,25,Male,89.5,8,7.87,19.42,33.8,10,5,1.28,2.84,2.1,Average,Moderate
S0176,23,Other,65.23,7,7.74,47.44,70.55,3,0,3.52,1.95,3.59,Average,High
S0177,20,Male,54.05,6,7.48,0.73,18.75,6,5,4.81,3.51,3.89,Excellent,Moderate
S0178,20,Male,70.15,9,1.51,2.58,75.06,13,3,3.16,2.21,4.45,Good,Moderate
S0179,18,Other,58.68,6,2.17,55.33,23.6,6,4,3.86,4.87,2.9,Excellent,Low
S0180,20,Female,84.75,4,4.64,52.04,14.35,7,5,3.23,3.81,4.98,Average,High
S0181,22,Female,67.3,4,2.64,99.46,18.54,0,3,4.42,1.55,4.92,Average,Low
S0182,24,Male,98.78,10,4.15,20.18,18.21,3,1,4.72,2.67,4.53,Good,High
S0183,23,Male,82.05,4,8.88,25.81,51.29,11,5,1.74,2.54,3.3,Good,High
S0184,20,Female,91.12,0,8.24,11.35,84.48,2,3,2.75,3.14,2.59,Excellent,High
S0185,18,Other,56.63,7,6.3,91.75,7.96,12,1,2.57,4.37,2.46,Excellent,Low
S0186,22,Female,93.1,10,8.58,77.78,70.7,19,0,2.62,3.33,1.05,Poor,High
S0187,19,Female,96.14,0,7.84,82.23,65.43,5,1,1.5,1.25,2.0,Excellent,Moderate
S0188,24,Male,74.35,3,4.29,90.28,87.25,10,1,4.25,3.62,3.88,Excellent,Moderate
S0189,24,Female,80.31,8,2.01,52.49,24.41,3,4,1.14,1.03,3.41,Poor,Low
S0190,23,Male,88.24,8,5.14,45.12,45.01,19,3,3.11,4.12,4.67,Good,Low
S0191,24,Male,58.74,4,7.36,33.04,92.58,15,5,3.65,3.67,1.2,Average,Moderate
S0192,20,Male,75.13,3,4.36,58.92,66.0,6,4,1.83,2.24,1.62,Excellent,Low
S0193,18,Female,69.93,2,6.67,45.43,38.88,10,2,4.62,2.17,4.16,Good,Moderate
S0194,24,Male,57.32,2,0.94,45.16,13.14,0,1,4.35,4.19,2.43,Good,Low
S0195,24,Male,68.38,4,7.48,93.69,26.25,6,2,2.88,4.13,1.47,Average,High
S0196,19,Female,53.41,9,8.13,98.4,58.12,11,4,2.64,2.41,4.99,Excellent,High
S0197,19,Male,51.29,0,7.07,79.65,71.82,6,3,1.95,2.2,4.15,Good,Moderate
S0198,21,Female,56.76,4,9.67,75.68,12.44,6,4,3.92,3.24,2.63,Average,Moderate
S0199,22,Male,98.16,5,8.27,68.06,59.96,9,3,1.53,1.03,4.29,Good,Moderate
S0200,20,Female,77.48,6,9.03,16.61,55.04,15,3,3.72,1.33,3.72,Good,Moderate
S0201,24,Female,98.29,8,9.34,5.91,51.4,7,0,4.37,1.5,4.16,Excellent,Moderate
S0202,25,Male,71.62,2,8.01,69.07,69.01,8,1,1.91,1.74,4.26,Excellent,Moderate
S0203,24,Male,65.59,1,6.74,72.88,83.74,8,4,4.47,3.05,1.34,Average,High
S0204,18,Male,75.31,2,0.06,4.7,32.3,1,3,1.13,4.97,3.49,Average,Low
S0205,21,Male,71.98,8,4.66,92.81,88.9,12,4,4.65,3.61,1.03,Poor,Low
S0206,22,Other,55.28,6,5.71,9.11,16.06,12,4,1.47,1.25,1.17,Average,Low
S0207,25,Male,82.04,8,3.04,28.59,17.3,3,3,3.58,3.1,4.62,Good,Moderate
S0208,21,Female,60.8,1,3.18,67.24,26.68,11,5,2.0,2.99,3.11,Average,Moderate
S0209,23,Male,80.98,4,9.61,16.99,11.95,16,2,4.35,1.58,3.94,Excellent,Low
S0210,22,Female,82.51,3,8.92,5.54,23.03,1,1,3.05,4.68,4.35,Good,Low
S0211,24,Female,57.6,1,8.49,33.11,10.64,12,1,1.54,2.76,4.8,Good,Moderate
S0212,24,Female,53.07,8,4.06,76.6,82.18,17,5,3.28,4.98,4.48,Excellent,Moderate
S0213,22,Female,89.04,8,0.14,41.37,13.9,14,0,2.63,2.68,2.93,Average,Moderate
S0214,24,Male,72.99,5,0.8,65.3,74.73,7,5,3.65,3.43,2.34,Good,Moderate
S0215,20,Male,52.91,10,3.12,57.96,4.79,14,0,4.53,1.42,1.62,Good,High
S0216,22,Other,99.74,5,0.16,2.22,94.85,0,0,2.64,2.82,2.6,Good,Moderate
S0217,21,Female,52.89,7,0.17,98.85,71.12,19,5,2.16,1.96,2.47,Good,Low
S0218,22,Other,84.75,5,9.17,4.14,0.68,9,1,1.06,4.34,3.24,Excellent,Moderate
S0219,25,Male,99.18,0,7.06,96.78,76.39,11,2,3.3,4.14,3.66,Average,Moderate
S0220,24,Female,61.96,3,3.09,54.99,51.41,4,1,2.61,4.3,4.91,Good,Moderate
S0221,20,Other,57.11,6,1.33,96.32,77.94,8,1,2.5,3.89,3.91,Average,Low
S0222,20,Male,56.07,1,5.12,11.48,52.25,7,1,1.73,4.33,3.57,Excellent,Moderate
S0223,23,Male,65.16,8,0.05,49.04,64.1,15,5,2.72,1.8,2.34,Good,Moderate
S0224,21,Female,55.05,7,9.38,16.95,78.63,13,5,4.94,2.81,1.14,Average,Moderate
S0225,19,Female,84.61,7,4.15,5.1,40.51,12,5,2.19,3.77,2.15,Average,Moderate
S0226,19,Female,53.11,6,4.02,61.75,0.27,12,1,3.4,3.55,4.07,Good,Moderate
S0227,22,Male,75.47,3,3.91,20.78,84.99,4,2,4.11,3.87,1.82,Average,Moderate
S0228,23,Female,99.83,1,0.69,58.77,38.09,15,0,4.0,1.9,3.85,Poor,Moderate
S0229,18,Male,90.7,2,6.38,11.24,49.6,10,4,2.32,1.39,3.32,Poor,Moderate
S0230,22,Male,80.76,5,7.33,33.2,0.78,4,0,3.44,4.67,1.69,Average,High
S0231,23,Male,65.31,4,6.76,78.16,49.21,12,0,4.49,3.24,2.05,Average,High
S0232,21,Female,81.19,7,1.38,43.71,98.65,10,4,1.06,1.62,2.99,Good,High
S0233,21,Female,76.35,5,5.79,62.77,27.83,18,1,2.74,4.17,2.67,Average,Low
S0234,21,Female,71.3,5,5.69,64.75,39.54,2,2,1.9,4.66,4.11,Good,High
S0235,21,Male,56.54,0,8.68,84.38,68.72,14,2,2.55,1.68,3.94,Poor,High
S0236,21,Female,94.33,3,3.79,32.49,81.48,6,0,2.66,4.27,3.3,Excellent,High
S0237,23,Male,72.49,4,3.71,68.73,41.74,6,4,3.99,4.73,4.29,Good,Moderate
S0238,23,Female,59.73,10,6.19,96.16,30.97,5,3,1.38,4.75,3.25,Good,High
S0239,20,Male,68.39,2,6.33,73.02,93.78,2,1,3.05,4.66,4.86,Good,Moderate
S0240,25,Male,70.71,8,4.69,48.99,67.71,12,0,3.26,3.19,1.87,Good,High
S0241,19,Female,91.38,0,4.43,63.07,11.9,6,2,2.98,2.42,3.86,Good,Low
S0242,24,Male,86.68,5,4.94,73.97,6.89,4,5,3.93,1.03,2.48,Average,Low
S0243,21,Female,88.47,5,8.61,61.23,48.35,17,5,2.54,1.24,2.12,Average,Low
S0244,18,Female,50.55,9,4.61,1.67,22.01,7,4,4.78,2.72,1.72,Good,Moderate
S0245,24,Male,70.81,4,9.4,19.48,25.4,16,4,2.93,2.6,3.21,Average,Moderate
S0246,23,Female,74.07,4,5.04,81.05,87.77,19,0,3.28,1.74,1.86,Good,Moderate
S0247,18,Male,50.96,9,9.49,27.27,8.96,0,3,4.3,2.58,1.8,Excellent,Moderate
S0248,18,Female,62.99,4,8.33,73.16,71.54,13,2,2.1,1.7,4.96,Average,Moderate
S0249,18,Other,88.01,5,3.62,37.21,27.11,16,0,1.3,4.4,4.21,Average,High
S0250,20,Female,56.86,7,8.64,52.19,76.03,9,3,3.83,2.19,3.99,Good,Moderate
S0251,23,Male,76.77,1,1.1,6.8,72.24,11,4,2.93,3.39,4.18,Good,High
S0252,18,Other,60.76,5,9.25,18.12,0.74,15,5,4.59,3.01,4.88,Good,Moderate
S0253,21,Female,50.61,0,6.32,95.72,50.91,13,1,4.93,1.21,3.29,Good,Moderate
S0254,22,Male,62.06,3,0.54,89.01,13.93,15,5,2.6,4.77,1.88,Excellent,Moderate
S0255,18,Male,98.79,9,6.44,65.23,86.62,7,2,2.66,3.11,4.45,Poor,Low
S0256,20,Female,90.08,2,9.74,45.96,87.16,9,2,2.63,2.3,3.97,Average,Moderate
S0257,24,Female,97.98,8,0.7,67.58,41.83,16,5,2.3,1.63,2.66,Average,Moderate
S0258,23,Female,74.39,2,5.55,61.86,44.44,17,5,4.13,2.35,2.89,Good,Moderate
S0259,25,Female,55.49,5,7.48,56.86,30.33,19,3,4.04,1.08,2.65,Average,High
S0260,20,Female,77.4,0,8.1,5.92,71.66,15,0,2.91,2.45,4.72,Good,Moderate
S0261,18,Male,72.72,5,4.14,63.28,35.87,16,4,1.18,3.13,2.37,Good,Low
S0262,23,Male,92.22,3,2.04,76.89,26.78,15,3,2.24,4.49,4.85,Excellent,Low
S0263,22,Male,54.9,7,0.42,99.41,43.22,18,1,2.17,3.75,4.64,Average,Moderate
S0264,18,Female,74.41,10,5.8,1.11,9.15,7,5,4.24,1.45,3.52,Poor,High
S0265,20,Male,57.5,8,4.53,73.02,74.66,5,1,1.35,1.59,3.32,Excellent,High
S0266,19,Female,66.23,3,9.49,57.18,1.26,5,1,4.22,2.71,2.48,Excellent,Moderate
S0267,21,Female,86.87,9,0.61,43.41,64.45,8,3,3.68,1.78,1.07,Good,Low
S0268,25,Female,73.8,9,6.85,12.76,18.29,3,4,3.93,1.11,1.51,Average,Moderate
S0269,24,Male,68.79,5,0.25,40.91,23.24,11,2,2.73,4.22,4.02,Good,Low
S0270,20,Female,69.72,0,1.71,35.44,63.56,11,0,3.72,1.08,2.89,Good,Moderate
S0271,23,Male,72.97,3,4.54,30.28,99.29,16,2,3.44,4.32,1.6,Average,High
S0272,25,Female,89.25,6,4.55,73.09,77.77,14,4,4.08,1.58,2.06,Good,High
S0273,25,Male,94.6,0,6.86,70.07,22.58,8,2,2.79,4.9,4.79,Excellent,High
