Age,Gender,Country,Study_Hours_Per_Week,Sleep_Hours_Per_Day,Screen_Time_Hours_Per_Day,Attendance_Percentage,Family_Income_Level,Stress_Level,Mental_Health_Score,Final_Exam_Score,Pass_Fail
21,Male,Australia,25,5.6,8.6,69,Low,3,15,41.0,Fail
22,Male,USA,40,6.4,9.9,64,Low,1,92,74.0,Pass
17,Male,India,16,5.1,9.0,67,Medium,7,10,29.0,Fail
15,Male,Australia,31,7.2,4.3,96,High,7,38,61.0,Pass
18,Female,UK,44,8.9,2.8,51,High,10,47,43.0,Fail
16,Female,Germany,6,7.0,5.4,78,Medium,8,57,5.0,Fail
22,Male,UK,17,5.8,7.7,62,High,5,50,33.0,Fail
18,Male,Canada,36,7.2,5.4,53,Low,10,71,41.0,Fail
16,Female,Pakistan,35,4.6,5.3,91,High,5,15,68.0,Pass
20,Male,Canada,20,8.4,8.5,94,Medium,5,18,44.0,Fail
20,Male,USA,36,6.5,4.3,59,Low,1,82,61.0,Pass
24,Male,India,36,6.2,8.7,80,Medium,10,88,36.0,Fail
18,Female,USA,38,6.9,4.7,90,Low,5,2,84.0,Pass
20,Male,Germany,15,7.1,4.0,57,Low,6,84,24.0,Fail
16,Female,Australia,14,4.4,5.1,52,High,1,98,38.0,Fail
24,Male,UK,19,7.4,7.9,97,Low,7,43,33.0,Fail
16,Female,Canada,21,5.2,2.1,95,Medium,1,26,55.0,Pass
24,Female,France,44,7.6,2.8,58,High,2,71,54.0,Pass
18,Male,Canada,22,8.1,9.6,79,Medium,2,38,52.0,Pass
22,Female,Germany,13,8.0,2.6,60,Low,5,94,23.0,Fail
21,Male,Canada,29,6.8,6.1,84,Medium,10,42,45.0,Fail
23,Female,Germany,44,6.6,6.2,86,Medium,7,5,75.0,Pass
22,Male,France,18,4.7,5.4,91,Low,1,11,35.0,Fail
19,Male,USA,29,7.9,6.8,62,High,10,65,32.0,Fail
16,Female,UK,26,5.4,3.1,85,Medium,1,34,60.0,Pass
19,Male,India,34,6.5,6.0,62,Low,1,1,79.0,Pass
22,Male,Australia,24,5.4,4.3,61,High,6,83,37.0,Fail
24,Female,India,25,4.7,7.0,86,High,2,2,59.0,Pass
23,Male,USA,48,7.1,2.3,59,High,1,85,73.0,Pass
23,Male,Australia,36,4.3,6.1,58,Medium,6,20,71.0,Pass
15,Female,Canada,25,7.7,2.7,56,Medium,2,61,26.0,Fail
23,Female,France,39,5.6,3.5,51,Medium,6,87,54.0,Pass
21,Male,France,36,4.0,3.0,72,High,10,21,34.0,Fail
23,Male,Pakistan,34,6.6,2.6,88,Medium,8,88,30.0,Fail
22,Female,USA,43,4.2,8.4,89,Low,2,68,78.0,Pass
15,Female,USA,16,5.4,3.6,88,Medium,9,12,33.0,Fail
22,Male,UK,45,7.5,9.3,70,Medium,8,22,60.0,Pass
22,Female,India,22,4.3,9.7,72,High,10,20,32.0,Fail
17,Male,USA,25,8.2,6.1,78,Medium,1,82,83.0,Pass
15,Male,USA,17,4.0,2.3,63,Low,7,1,26.0,Fail
22,Male,Canada,25,5.2,4.4,75,High,10,30,43.0,Fail
17,Male,Canada,12,7.7,8.2,54,Low,6,97,15.0,Fail
17,Male,Australia,44,5.6,4.3,80,High,6,24,71.0,Pass
15,Female,Germany,11,4.5,1.8,74,High,6,14,24.0,Fail
19,Female,Germany,27,5.8,6.0,80,Medium,6,36,43.0,Fail
24,Female,Pakistan,48,5.4,8.6,99,Low,10,69,90.0,Pass
21,Female,Germany,36,8.2,8.2,69,High,7,75,65.0,Pass
24,Male,UK,15,5.6,2.6,93,Medium,3,24,43.0,Fail
23,Male,Pakistan,26,7.9,7.1,66,High,6,60,19.0,Fail
21,Male,Australia,26,8.5,3.0,94,High,3,95,51.0,Pass
23,Male,Canada,47,6.2,3.0,51,High,7,55,88.0,Pass
22,Female,Germany,29,8.5,8.9,74,High,7,77,44.0,Fail
16,Male,India,26,5.9,3.2,62,High,8,80,49.0,Fail
15,Male,Canada,32,8.8,3.4,88,High,2,24,76.0,Pass
21,Female,France,33,4.4,1.0,77,Medium,9,77,51.0,Pass
21,Female,UK,17,7.4,8.8,91,High,5,24,32.0,Fail
22,Female,Canada,22,6.5,8.1,55,Low,9,54,5.0,Fail
19,Female,UK,6,5.9,6.6,52,Medium,10,26,15.0,Fail
17,Male,UK,33,7.2,7.8,84,Low,5,66,49.0,Fail
22,Male,UK,25,7.5,2.4,67,High,7,80,41.0,Fail
20,Female,Australia,19,4.0,5.1,60,Low,9,38,15.0,Fail
17,Male,UK,31,4.8,4.2,69,High,4,65,49.0,Fail
15,Male,UK,35,7.6,1.8,54,High,2,75,56.0,Pass
17,Male,France,19,7.3,5.4,68,Medium,9,51,32.0,Fail
19,Female,India,27,8.8,9.3,71,Medium,2,35,40.0,Fail
17,Male,Pakistan,28,7.8,1.4,68,High,3,43,61.0,Pass
15,Female,USA,48,8.8,3.6,96,Medium,10,29,65.0,Pass
19,Male,France,17,7.5,2.9,65,Low,2,37,20.0,Fail
24,Male,Pakistan,26,5.5,3.1,73,Medium,3,81,48.0,Fail
21,Male,UK,47,4.5,9.2,90,Medium,6,58,75.0,Pass
21,Female,India,41,7.9,5.2,53,Low,3,54,62.0,Pass
23,Male,Canada,37,7.2,5.2,64,Medium,10,39,62.0,Pass
24,Female,India,7,4.2,7.8,74,High,8,42,16.0,Fail
24,Female,France,23,5.8,2.4,93,Low,6,28,45.0,Fail
17,Female,UK,27,8.8,5.4,84,High,7,29,36.0,Fail
21,Male,India,33,6.5,4.9,63,Low,1,43,65.0,Pass
15,Male,Germany,34,6.2,6.4,98,High,3,3,68.0,Pass
18,Male,India,43,6.3,10.0,68,High,3,10,63.0,Pass
18,Male,UK,48,5.0,7.9,87,Medium,2,59,62.0,Pass
19,Female,Australia,29,5.8,4.6,85,High,7,14,64.0,Pass
21,Female,Germany,41,5.8,8.4,56,Medium,9,76,40.0,Fail
21,Female,India,12,4.3,2.5,79,Low,4,47,26.0,Fail
18,Male,USA,46,7.8,1.3,68,High,5,42,72.0,Pass
21,Female,USA,20,6.1,2.8,98,High,3,94,37.0,Fail
17,Male,India,12,8.1,4.1,74,Low,9,32,8.0,Fail
20,Female,Australia,5,8.3,5.6,65,Low,4,32,0.0,Fail
16,Male,Canada,48,5.1,6.5,96,High,5,42,86.0,Pass
24,Male,UK,9,7.3,9.2,89,Low,1,32,31.0,Fail
23,Female,USA,7,6.4,5.6,57,Medium,2,26,52.0,Pass
19,Female,Canada,5,8.4,5.5,67,Low,9,1,3.0,Fail
20,Female,India,8,5.1,1.5,77,Low,2,56,20.0,Fail
18,Female,France,44,7.4,1.3,65,High,5,2,59.0,Pass
24,Male,Canada,39,7.0,6.0,68,Medium,8,81,58.0,Pass
21,Female,Germany,36,5.5,4.9,91,Low,3,30,61.0,Pass
23,Female,Pakistan,46,4.7,8.6,66,Medium,6,71,72.0,Pass
21,Female,USA,38,7.3,2.4,94,Medium,4,52,58.0,Pass
15,Male,India,47,7.7,1.2,62,Medium,7,91,51.0,Pass
15,Male,France,29,5.6,5.0,56,High,10,9,19.0,Fail
23,Female,UK,14,7.2,3.1,76,Low,3,22,13.0,Fail
23,Male,France,25,6.0,1.4,59,High,6,34,34.0,Fail
18,Female,Australia,43,7.6,7.5,83,Low,10,49,58.0,Pass
23,Male,Germany,31,5.0,2.0,85,Low,9,1,43.0,Fail
17,Male,India,31,8.5,6.5,74,High,10,73,57.0,Pass
21,Male,UK,6,5.4,3.5,55,Medium,1,84,34.0,Fail
20,Male,Australia,45,5.8,2.6,73,Medium,3,53,68.0,Pass
22,Female,Australia,17,4.3,4.4,67,Low,2,83,20.0,Fail
23,Female,India,13,4.6,8.2,72,High,8,100,20.0,Fail
19,Female,Germany,40,6.6,4.5,55,Medium,7,40,48.0,Fail
15,Male,Canada,26,5.3,7.8,78,Medium,2,45,45.0,Fail
17,Female,Canada,46,8.2,2.1,74,Low,6,68,61.0,Pass
24,Female,Australia,30,4.1,8.0,66,Low,3,9,45.0,Fail
22,Female,Canada,16,5.9,3.1,95,High,8,22,32.0,Fail
20,Male,Pakistan,21,5.7,7.1,73,Low,10,18,26.0,Fail
22,Male,Australia,18,4.1,6.1,60,Medium,3,76,37.0,Fail
23,Male,Australia,18,4.6,9.4,75,Medium,10,43,33.0,Fail
18,Female,UK,38,6.1,4.5,83,Medium,9,39,48.0,Fail
15,Female,Canada,24,6.5,1.6,77,Medium,1,73,63.0,Pass
15,Female,Germany,15,6.0,1.2,52,High,5,6,16.0,Fail
24,Male,Australia,20,6.7,8.4,60,High,3,83,21.0,Fail
18,Male,France,35,7.0,5.7,87,Low,6,48,63.0,Pass
21,Female,Germany,10,4.0,8.0,63,Low,10,7,8.0,Fail
16,Male,Pakistan,23,6.3,3.1,75,Low,2,80,50.0,Pass
17,Male,UK,41,8.8,4.1,97,High,9,69,41.0,Fail
15,Male,India,8,6.6,1.3,70,Medium,6,16,36.0,Fail
19,Male,Germany,8,7.4,9.7,88,Low,7,1,32.0,Fail
15,Female,Australia,24,5.6,7.0,79,Medium,5,37,30.0,Fail
22,Male,Pakistan,14,7.9,9.4,57,Low,9,83,6.0,Fail
15,Male,USA,28,7.9,3.4,69,Low,1,37,70.0,Pass
15,Male,Pakistan,39,6.6,6.5,97,Low,5,81,61.0,Pass
16,Male,Pakistan,30,8.9,7.1,81,Low,10,64,37.0,Fail
16,Female,UK,41,4.6,3.9,71,Low,6,90,39.0,Fail
20,Female,India,42,4.1,8.6,56,Medium,7,86,53.0,Pass
21,Male,USA,25,7.9,9.5,58,Low,4,62,39.0,Fail
19,Male,Canada,44,8.0,9.0,94,Medium,1,72,87.0,Pass
15,Male,Canada,43,4.6,7.7,50,High,8,61,41.0,Fail
15,Male,Germany,25,5.3,3.5,78,Low,10,33,23.0,Fail
17,Male,Pakistan,14,4.1,3.5,57,Medium,4,66,32.0,Fail
16,Male,France,42,5.5,9.7,53,High,3,30,72.0,Pass
19,Female,UK,8,7.9,1.1,84,High,7,20,9.0,Fail
24,Male,France,49,6.6,7.4,52,High,2,60,82.0,Pass
20,Female,UK,24,5.7,7.4,94,Medium,8,82,45.0,Fail
21,Female,Canada,21,5.9,6.6,89,Low,6,74,54.0,Pass
18,Male,Germany,11,4.0,9.9,56,Low,7,24,19.0,Fail
21,Female,Germany,8,5.5,3.8,76,Medium,5,4,-0.0,Fail
22,Female,Germany,33,7.2,4.1,50,Low,9,37,40.0,Fail
15,Female,USA,18,8.9,1.7,76,Medium,5,4,48.0,Fail
20,Female,India,7,8.2,5.0,65,Low,5,77,11.0,Fail
22,Female,USA,28,4.1,3.3,87,High,3,89,51.0,Pass
19,Female,Australia,41,8.5,4.1,56,Low,1,77,63.0,Pass
18,Male,Australia,20,7.9,8.5,93,Medium,2,18,20.0,Fail
16,Female,France,8,7.9,9.4,72,Medium,8,88,36.0,Fail
20,Female,India,28,6.3,2.7,90,High,1,66,50.0,Pass
20,Female,Canada,38,6.0,4.4,60,Medium,7,48,58.0,Pass
15,Male,India,34,5.5,9.4,91,Low,5,33,60.0,Pass
23,Female,UK,22,4.3,1.6,82,Low,3,58,59.0,Pass
20,Male,Australia,23,5.1,1.8,99,High,7,83,51.0,Pass
17,Female,Pakistan,35,5.2,2.5,85,Medium,9,73,52.0,Pass
18,Male,Pakistan,23,6.4,6.4,86,High,2,28,41.0,Fail
18,Male,Canada,23,7.7,2.4,90,Low,8,35,51.0,Pass
17,Female,UK,26,6.4,9.7,66,High,9,10,19.0,Fail
24,Female,France,28,4.3,5.0,84,Medium,3,65,61.0,Pass
17,Male,USA,49,8.8,5.5,97,High,2,42,74.0,Pass
17,Female,UK,16,8.7,3.2,54,Medium,7,85,37.0,Fail
18,Male,Pakistan,34,7.9,5.2,97,Medium,5,9,64.0,Pass
21,Male,Pakistan,42,9.0,7.0,81,Low,5,60,74.0,Pass
18,Male,France,35,6.7,7.8,52,Low,10,15,43.0,Fail
23,Male,Australia,40,8.8,7.8,96,Low,5,99,52.0,Pass
15,Male,UK,23,4.4,6.2,84,Medium,4,57,38.0,Fail
22,Female,UK,49,5.8,9.1,63,High,5,69,77.0,Pass
21,Male,Pakistan,40,5.1,8.4,97,Medium,4,22,73.0,Pass
16,Male,USA,34,5.0,7.8,80,Low,6,64,68.0,Pass
22,Female,Canada,37,4.7,1.5,80,Low,4,41,66.0,Pass
15,Male,Germany,22,7.1,1.1,66,High,2,87,34.0,Fail
23,Female,Canada,32,7.9,2.9,73,Low,9,71,39.0,Fail
23,Female,UK,15,6.9,7.0,72,Low,2,56,38.0,Fail
16,Female,Canada,49,4.7,4.7,67,Low,9,23,42.0,Fail
21,Male,Pakistan,37,8.1,4.6,99,High,10,25,76.0,Pass
24,Male,Pakistan,21,7.2,9.0,63,Medium,6,91,40.0,Fail
17,Male,France,10,5.9,9.1,99,Low,9,6,40.0,Fail
21,Female,UK,8,7.4,9.2,64,High,9,34,0.0,Fail
24,Male,France,24,5.3,3.8,64,Low,3,63,56.0,Pass
23,Female,UK,31,5.7,7.2,55,High,1,9,75.0,Pass
18,Male,Germany,19,8.6,3.4,76,Low,1,60,31.0,Fail
15,Female,Germany,10,5.5,2.7,64,High,3,49,34.0,Fail
16,Male,Australia,18,6.3,2.7,99,Low,5,97,44.0,Fail
15,Male,UK,15,8.5,4.1,85,Medium,3,51,24.0,Fail
19,Male,USA,43,7.5,4.9,57,Low,9,60,60.0,Pass
19,Female,Canada,13,4.3,8.5,64,High,9,70,30.0,Fail
21,Female,UK,30,4.7,2.1,52,Low,3,37,41.0,Fail
23,Male,India,20,4.0,7.6,96,Medium,3,31,60.0,Pass
23,Male,Australia,9,7.2,5.8,62,Low,5,98,5.0,Fail
17,Female,India,14,6.2,3.6,90,High,2,41,26.0,Fail
17,Female,Pakistan,7,4.7,5.4,83,High,6,62,26.0,Fail
17,Female,Germany,17,8.8,3.7,73,Medium,7,93,32.0,Fail
18,Male,Canada,47,6.6,6.4,89,High,9,58,62.0,Pass
22,Female,UK,34,5.2,4.9,81,Low,6,14,64.0,Pass
20,Male,India,49,6.5,2.5,81,Low,3,36,84.0,Pass
22,Female,Canada,10,7.4,2.0,79,Low,5,36,37.0,Fail
15,Male,Pakistan,21,4.4,5.9,98,High,4,79,47.0,Fail
22,Female,Germany,49,5.4,9.1,62,Low,5,8,76.0,Pass
18,Female,USA,23,8.0,4.1,50,Low,8,26,26.0,Fail
15,Female,Australia,46,6.3,7.6,83,Low,8,36,89.0,Pass
22,Female,Canada,39,6.7,6.9,64,Medium,6,48,49.0,Fail
18,Female,Canada,30,6.2,9.4,93,High,1,85,83.0,Pass
20,Male,USA,9,4.2,8.4,63,High,8,28,18.0,Fail
22,Female,Canada,33,4.8,6.1,78,High,8,68,37.0,Fail
18,Female,Pakistan,41,6.2,6.9,83,Medium,2,62,85.0,Pass
17,Female,Pakistan,24,5.0,9.1,67,High,4,80,44.0,Fail
23,Male,USA,25,4.2,4.6,56,Medium,2,86,52.0,Pass
17,Female,Australia,14,8.2,3.9,78,Medium,4,76,46.0,Fail
23,Male,UK,9,8.9,1.1,80,High,10,80,23.0,Fail
16,Female,India,40,8.0,8.4,74,Low,7,51,54.0,Pass
16,Female,UK,10,8.3,8.2,87,Low,9,42,34.0,Fail
16,Male,Canada,30,5.2,1.9,63,High,8,29,43.0,Fail
20,Female,India,8,8.8,6.2,57,High,9,82,20.0,Fail
17,Male,France,43,5.0,5.2,76,Medium,8,10,41.0,Fail
23,Male,USA,43,8.8,2.1,51,High,2,39,68.0,Pass
18,Female,USA,39,9.0,9.8,66,Medium,7,82,50.0,Pass
15,Male,Australia,5,7.6,2.9,86,High,2,1,45.0,Fail
18,Female,India,28,8.9,1.6,63,Low,2,39,56.0,Pass
15,Female,Pakistan,40,6.8,6.4,74,Low,4,21,67.0,Pass
19,Male,India,10,5.3,7.6,79,High,1,65,39.0,Fail
18,Male,Canada,45,6.2,1.3,78,Medium,5,15,60.0,Pass
22,Male,Pakistan,48,7.0,6.9,69,Low,6,4,86.0,Pass
22,Male,Germany,35,4.4,5.8,70,Medium,9,60,69.0,Pass
21,Female,Germany,24,7.1,1.9,71,High,10,61,39.0,Fail
17,Female,France,28,8.9,2.6,84,High,8,20,63.0,Pass
15,Male,Germany,29,5.0,6.1,86,Low,2,10,52.0,Pass
15,Female,USA,40,8.0,3.7,65,High,1,87,58.0,Pass
17,Female,India,25,8.5,9.4,99,Low,2,34,57.0,Pass
20,Female,Germany,34,8.7,8.4,98,Medium,7,48,64.0,Pass
21,Female,UK,28,8.8,9.9,92,Low,4,33,51.0,Pass
20,Male,Australia,48,6.6,3.3,66,Low,10,98,68.0,Pass
20,Male,UK,46,8.9,9.7,65,Medium,5,61,70.0,Pass
20,Female,Germany,34,7.8,4.9,51,Low,7,10,36.0,Fail
17,Male,France,26,4.8,4.1,53,Low,3,54,48.0,Fail
20,Male,Australia,32,6.4,1.5,70,High,10,84,53.0,Pass
22,Male,Canada,11,7.6,1.5,88,Medium,2,65,38.0,Fail
16,Female,UK,39,5.2,7.2,83,Low,7,77,73.0,Pass
19,Female,France,32,7.2,5.1,79,Medium,5,1,42.0,Fail
15,Female,India,18,7.3,3.0,55,Medium,1,5,41.0,Fail
15,Male,India,14,4.8,6.5,66,Low,1,80,23.0,Fail
19,Female,UK,20,6.8,3.3,88,High,9,15,26.0,Fail
17,Female,Germany,20,7.9,6.2,74,Medium,5,28,32.0,Fail
18,Male,France,35,6.5,4.2,54,Low,1,95,47.0,Fail
17,Female,India,46,4.1,8.4,54,Medium,7,23,55.0,Pass
15,Female,Canada,29,4.0,8.4,69,High,9,17,40.0,Fail
15,Male,Pakistan,17,5.8,5.3,65,High,1,98,47.0,Fail
19,Male,Germany,10,8.6,4.2,90,High,10,13,21.0,Fail
20,Male,France,48,5.1,4.3,86,Low,4,14,62.0,Pass
17,Female,Canada,13,7.2,8.3,89,Low,3,11,49.0,Fail
23,Female,France,49,5.1,4.0,58,High,5,28,60.0,Pass
19,Female,Australia,40,5.6,2.9,54,Low,7,42,53.0,Pass
22,Male,Canada,47,8.2,1.8,91,High,8,96,76.0,Pass
15,Male,Germany,24,7.6,5.2,51,Low,2,99,43.0,Fail
19,Female,Australia,22,4.5,5.3,58,High,7,61,44.0,Fail
17,Female,Germany,47,6.1,8.6,92,Medium,1,64,87.0,Pass
15,Male,India,25,4.1,3.0,85,High,7,31,36.0,Fail
18,Male,Pakistan,8,6.4,4.4,71,High,8,81,41.0,Fail
19,Male,Germany,37,7.3,8.3,71,Low,2,73,65.0,Pass
21,Male,Germany,31,4.6,8.4,71,Low,9,10,44.0,Fail
15,Female,India,11,5.4,4.5,83,Low,1,8,46.0,Fail
17,Male,USA,10,6.0,5.1,78,Low,6,21,29.0,Fail
16,Female,India,19,8.6,3.7,87,Low,1,77,51.0,Pass
23,Female,Australia,22,9.0,9.4,95,Low,3,59,75.0,Pass
24,Female,India,36,4.2,2.1,82,Medium,6,50,56.0,Pass
20,Male,India,15,7.8,9.4,67,High,3,69,30.0,Fail
24,Male,Pakistan,24,5.9,7.2,56,High,8,70,35.0,Fail
17,Male,India,28,6.0,5.8,50,High,5,30,52.0,Pass
22,Male,France,19,7.8,1.3,82,Medium,2,95,29.0,Fail
22,Female,Germany,11,8.6,5.3,50,High,4,17,3.0,Fail
16,Male,France,25,8.8,4.7,73,Medium,9,75,33.0,Fail
20,Male,Pakistan,46,6.9,2.5,53,Medium,4,20,49.0,Fail
21,Female,UK,30,5.8,6.9,53,Medium,10,48,33.0,Fail
16,Male,USA,48,7.9,9.7,67,High,10,73,68.0,Pass
24,Female,France,18,5.3,6.1,76,Medium,8,2,23.0,Fail
16,Female,Pakistan,41,6.8,7.4,92,High,5,37,55.0,Pass
24,Female,Australia,25,5.8,1.6,81,High,10,1,40.0,Fail
15,Female,UK,22,7.3,4.8,82,Low,1,4,58.0,Pass
22,Female,Pakistan,9,5.2,2.0,77,Low,7,100,6.0,Fail
15,Female,Pakistan,7,5.0,6.5,91,Medium,3,54,39.0,Fail
23,Female,USA,27,8.6,9.4,90,Medium,10,25,53.0,Pass
20,Female,Germany,30,4.5,7.0,85,High,8,3,59.0,Pass
21,Male,France,41,6.5,1.7,55,Medium,3,9,73.0,Pass
24,Male,Australia,28,5.1,4.2,65,Medium,1,86,74.0,Pass
21,Male,Canada,23,4.2,6.0,83,High,5,87,41.0,Fail
24,Male,France,29,4.2,4.6,72,Medium,2,76,54.0,Pass
17,Female,Canada,25,4.9,8.5,99,Medium,4,74,50.0,Pass
16,Male,Pakistan,16,8.3,8.3,91,High,1,34,45.0,Fail
23,Female,India,45,5.4,6.5,73,High,9,43,78.0,Pass
22,Male,Australia,37,8.8,4.4,98,Low,6,74,51.0,Pass
24,Male,UK,8,6.9,3.3,62,High,8,94,8.0,Fail
21,Male,India,46,6.2,2.0,67,Low,4,22,83.0,Pass
23,Female,India,11,6.9,4.2,62,Medium,9,70,29.0,Fail
18,Male,France,26,6.6,4.7,98,High,2,2,54.0,Pass
18,Female,Australia,37,7.8,7.1,86,High,9,94,65.0,Pass
15,Female,Germany,21,5.4,6.9,92,High,5,66,49.0,Fail
22,Male,Pakistan,28,5.8,1.6,88,Medium,6,32,66.0,Pass
17,Male,Pakistan,38,8.5,4.6,91,Low,3,16,69.0,Pass
21,Male,Pakistan,32,8.7,2.6,66,Medium,4,76,62.0,Pass
16,Female,Pakistan,47,8.5,2.4,64,Medium,6,1,93.0,Pass
16,Male,France,45,6.1,8.4,67,High,7,72,70.0,Pass
21,Female,Canada,43,7.9,1.4,72,Low,1,48,72.0,Pass
20,Female,Pakistan,26,6.4,4.8,79,Medium,7,50,52.0,Pass
17,Male,Canada,21,6.5,2.5,83,High,1,13,45.0,Fail
23,Male,Canada,38,5.0,8.9,53,Medium,5,15,78.0,Pass
24,Female,Germany,10,7.0,6.0,52,Medium,6,53,20.0,Fail
20,Female,Pakistan,10,4.9,3.1,56,High,2,44,23.0,Fail
24,Female,USA,38,5.7,5.5,67,High,10,8,42.0,Fail
24,Male,UK,5,8.3,7.6,91,Low,9,74,31.0,Fail
20,Female,India,14,5.0,9.6,56,Medium,10,46,27.0,Fail
15,Male,Canada,25,4.4,3.0,89,High,6,69,43.0,Fail
18,Female,Australia,9,4.3,9.0,55,High,7,19,23.0,Fail
24,Female,Australia,6,8.7,9.4,71,Low,10,38,0.0,Fail
20,Male,UK,26,6.5,9.2,50,Low,8,11,36.0,Fail
20,Female,Australia,6,6.0,6.7,53,High,10,43,13.0,Fail
19,Male,USA,14,8.1,6.7,95,Low,1,20,61.0,Pass
15,Male,Australia,38,8.2,4.6,98,High,8,20,55.0,Pass
22,Female,India,20,5.7,7.8,99,Medium,4,21,35.0,Fail
19,Male,India,43,7.5,5.8,92,Low,10,82,55.0,Pass
19,Male,Canada,26,7.9,7.1,78,Medium,8,57,29.0,Fail
21,Female,Pakistan,16,7.3,4.9,70,Medium,6,50,45.0,Fail
18,Male,Germany,28,4.8,7.6,75,Medium,9,74,58.0,Pass
20,Male,USA,44,8.4,8.4,63,High,4,98,69.0,Pass
18,Male,Canada,42,6.7,2.3,58,Medium,2,26,77.0,Pass
17,Female,USA,14,5.4,8.5,96,Medium,2,30,44.0,Fail
21,Male,Pakistan,39,6.1,5.9,61,Medium,5,73,57.0,Pass
22,Female,France,36,4.2,8.6,91,High,10,31,52.0,Pass
18,Female,Australia,11,4.6,4.9,55,Medium,9,42,13.0,Fail
16,Male,Australia,25,7.8,4.4,69,Medium,3,68,31.0,Fail
24,Male,Germany,24,4.0,9.2,73,Low,8,61,41.0,Fail
17,Male,Pakistan,30,6.1,3.3,76,High,4,61,52.0,Pass
15,Female,Canada,8,6.6,8.6,87,Medium,6,70,34.0,Fail
22,Male,Germany,26,4.3,5.4,57,Low,10,78,34.0,Fail
17,Male,Pakistan,19,8.9,5.6,50,High,6,68,27.0,Fail
24,Male,UK,44,5.1,3.8,98,High,3,90,69.0,Pass
21,Male,India,25,5.5,6.2,98,High,5,17,53.0,Pass
24,Male,Germany,19,5.5,3.9,73,High,3,19,48.0,Fail
19,Female,Germany,26,5.2,1.4,96,High,1,51,47.0,Fail
24,Female,Canada,32,4.0,3.4,56,High,7,70,46.0,Fail
